time [UTC],Kora Organics,Biologi
2021-08-01,32.0,0.0
2021-09-01,47.75,4.5
2021-10-01,38.0,0.0
2021-11-01,37.25,0.0
2021-12-01,22.0,4.0
2022-01-01,25.4,5.6
2022-02-01,22.25,12.75
2022-03-01,24.75,5.0
2022-04-01,58.5,6.5
2022-05-01,47.2,4.8
2022-06-01,56.0,10.5
2022-07-01,42.6,7.6
2022-08-01,26.25,4.0
2022-09-01,24.25,2.75
2022-10-01,29.4,2.8
2022-11-01,49.75,7.25
2022-12-01,24.75,0.0
2023-01-01,18.6,2.8
2023-02-01,23.5,7.5
2023-03-01,31.25,0.0
2023-04-01,31.4,5.2
2023-05-01,27.5,6.5
2023-06-01,25.75,6.5
2023-07-01,35.6,2.6
2023-08-01,32.5,0.0
2023-09-01,53.0,0.0
2023-10-01,32.6,2.2
2023-11-01,43.0,16.5
2023-12-01,31.4,0.0
2024-01-01,22.5,0.0
2024-02-01,25.25,18.75
2024-03-01,26.4,0.0
2024-04-01,26.75,0.0
2024-05-01,26.75,7.25
2024-06-01,22.2,0.0
2024-07-01,21.0,0.0
2024-08-01,28.75,0.0
2024-09-01,38.8,0.0
2024-10-01,29.75,0.0
2024-11-01,36.25,0.0
2024-12-01,31.0,0.0
2025-01-01,23.25,0.0
2025-02-01,16.75,0.0
2025-03-01,28.8,0.0
