time [UTC],eBay,Amazon,Depop,Etsy,Facebook Marketplace
2021-08-01,94.0,1.0,2.0,2.0,12.0
2021-09-01,95.75,2.25,2.0,2.0,12.75
2021-10-01,87.4,1.8,1.6,1.4,12.8
2021-11-01,83.25,2.75,1.0,2.0,13.25
2021-12-01,77.25,2.25,1.25,1.25,13.75
2022-01-01,82.6,1.8,2.0,7.0,14.4
2022-02-01,80.75,1.0,2.0,4.0,14.5
2022-03-01,79.5,1.25,2.0,4.25,13.25
2022-04-01,77.75,15.5,2.0,5.25,13.5
2022-05-01,75.2,0.8,2.0,9.2,13.0
2022-06-01,75.25,0.75,2.0,5.0,13.25
2022-07-01,78.0,0.6,2.0,7.2,13.4
2022-08-01,75.75,0.5,2.0,3.5,13.0
2022-09-01,76.25,1.25,2.0,2.75,14.0
2022-10-01,75.8,0.4,2.0,14.0,14.0
2022-11-01,77.75,1.0,2.0,16.0,13.75
2022-12-01,71.75,2.25,2.0,14.75,14.75
2023-01-01,74.6,0.6,2.0,16.2,16.2
2023-02-01,68.0,1.25,2.0,14.25,15.5
2023-03-01,68.25,16.5,2.0,12.25,14.5
2023-04-01,67.4,16.0,2.6,12.2,15.2
2023-05-01,68.0,1.25,2.75,10.75,15.0
2023-06-01,67.75,2.0,2.0,10.75,15.0
2023-07-01,66.0,1.6,2.2,11.4,15.2
2023-08-01,63.5,1.25,2.0,11.25,15.0
2023-09-01,62.5,1.0,2.0,11.25,15.5
2023-10-01,62.4,0.0,2.4,11.6,15.6
2023-11-01,65.0,0.0,2.25,13.75,15.75
2023-12-01,62.0,0.0,2.0,13.2,16.2
2024-01-01,61.25,16.0,3.0,13.5,17.75
2024-02-01,55.0,22.25,3.0,12.5,15.25
2024-03-01,53.6,20.4,3.0,12.4,14.8
2024-04-01,53.25,37.0,3.5,12.5,14.25
2024-05-01,53.0,32.75,3.75,11.75,14.5
2024-06-01,53.0,31.8,3.0,11.0,14.0
2024-07-01,53.5,40.5,3.0,11.5,13.5
2024-08-01,51.5,34.25,3.25,11.75,13.5
2024-09-01,52.2,34.2,3.4,11.6,13.6
2024-10-01,51.5,45.75,4.0,12.5,13.5
2024-11-01,52.25,47.5,3.75,13.0,14.0
2024-12-01,51.8,41.8,3.4,12.4,15.0
2025-01-01,52.0,35.75,4.75,13.25,14.5
2025-02-01,50.25,40.75,4.75,11.5,14.75
2025-03-01,46.0,36.8,5.0,11.2,13.4
