time [UTC],Cotton On,Calibre,Connor,Hallenstein Brothers,Industrie
2021-08-01,58.0,2.0,10.0,0.0,2.0
2021-09-01,76.25,2.5,11.5,0.0,2.0
2021-10-01,68.2,2.4,11.0,0.0,2.8
2021-11-01,81.0,3.0,13.5,0.25,4.5
2021-12-01,82.0,3.0,12.75,0.5,4.5
2022-01-01,57.8,3.0,9.8,0.0,2.2
2022-02-01,58.25,3.25,10.75,0.0,2.25
2022-03-01,68.0,3.0,11.25,0.0,2.5
2022-04-01,70.75,3.25,14.0,0.0,3.5
2022-05-01,64.4,3.0,16.0,0.2,3.2
2022-06-01,62.0,3.0,13.5,0.5,3.0
2022-07-01,51.8,3.0,13.0,0.4,3.0
2022-08-01,51.75,3.25,13.25,0.25,3.0
2022-09-01,59.25,3.0,12.25,0.25,3.0
2022-10-01,56.0,3.0,13.8,0.2,2.6
2022-11-01,78.75,3.25,13.75,1.0,4.25
2022-12-01,79.5,3.25,13.25,1.0,4.5
2023-01-01,51.0,3.0,10.8,0.0,2.6
2023-02-01,48.0,3.0,11.25,0.0,2.25
2023-03-01,56.0,3.0,12.0,0.0,2.5
2023-04-01,58.0,3.0,13.2,0.8,3.2
2023-05-01,55.0,3.0,13.75,0.25,3.0
2023-06-01,53.0,3.0,14.75,0.75,3.5
2023-07-01,44.6,3.0,17.8,0.6,3.0
2023-08-01,47.0,3.0,15.75,0.25,3.25
2023-09-01,57.75,3.0,13.5,1.0,3.25
2023-10-01,56.4,3.0,13.6,0.2,3.2
2023-11-01,68.75,3.0,14.25,0.75,5.0
2023-12-01,68.6,3.0,14.0,0.8,5.6
2024-01-01,40.75,3.0,12.0,0.75,3.0
2024-02-01,41.5,3.0,11.5,0.5,3.0
2024-03-01,48.0,3.0,13.4,0.4,3.6
2024-04-01,52.5,3.0,14.25,0.75,4.0
2024-05-01,49.0,3.0,13.75,0.5,4.0
2024-06-01,47.2,3.0,16.2,1.0,4.4
2024-07-01,41.75,3.5,14.25,1.0,3.5
2024-08-01,43.0,3.0,13.5,0.5,3.75
2024-09-01,51.4,3.0,14.4,0.6,3.8
2024-10-01,52.25,3.0,15.25,0.5,3.75
2024-11-01,70.25,3.25,16.25,1.0,6.25
2024-12-01,70.8,3.6,14.2,0.8,7.0
2025-01-01,42.25,3.0,11.25,0.0,3.0
2025-02-01,39.5,3.5,11.75,0.0,3.0
2025-03-01,46.0,4.2,12.8,0.2,3.6
