time [UTC],KFC,FISHBOWL,Grill'd,Guzman y Gomez,Hungry Jack's
2021-08-01,62.0,1.0,4.0,7.0,1.0
2021-09-01,69.75,1.0,4.0,8.25,2.0
2021-10-01,67.6,1.6,4.6,8.4,2.0
2021-11-01,67.75,1.5,5.25,9.0,2.0
2021-12-01,88.25,1.75,5.0,10.25,2.0
2022-01-01,65.4,2.0,3.8,8.2,2.0
2022-02-01,54.5,2.5,4.75,8.0,2.5
2022-03-01,60.25,2.0,6.0,8.0,3.25
2022-04-01,68.0,2.0,8.0,9.0,5.0
2022-05-01,63.4,2.0,7.4,8.4,4.8
2022-06-01,70.5,2.0,8.25,8.75,4.25
2022-07-01,62.2,2.2,7.4,8.8,4.2
2022-08-01,61.25,2.0,7.25,8.25,4.0
2022-09-01,61.75,2.5,7.25,8.5,4.25
2022-10-01,65.6,2.8,7.8,8.4,4.0
2022-11-01,60.25,2.5,6.75,7.25,4.0
2022-12-01,74.0,3.25,7.25,8.75,4.5
2023-01-01,61.4,3.0,7.2,8.6,4.6
2023-02-01,62.5,2.5,6.5,8.25,4.25
2023-03-01,61.0,2.25,6.5,7.75,4.0
2023-04-01,68.6,2.0,7.2,8.6,4.4
2023-05-01,64.25,2.25,6.0,7.5,3.25
2023-06-01,66.25,2.0,6.5,8.0,3.5
2023-07-01,63.0,2.0,9.4,9.0,4.2
2023-08-01,59.75,2.25,6.75,8.5,3.75
2023-09-01,57.5,2.75,6.25,8.0,3.75
2023-10-01,59.0,3.0,6.2,7.8,3.4
2023-11-01,56.5,3.0,6.0,7.75,3.0
2023-12-01,65.6,2.4,7.0,8.6,3.8
2024-01-01,55.5,3.0,6.0,7.0,3.75
2024-02-01,55.25,3.5,5.5,7.75,3.0
2024-03-01,60.6,2.6,5.8,7.8,3.2
2024-04-01,58.0,2.25,6.0,7.75,3.0
2024-05-01,56.75,3.75,6.0,7.75,3.0
2024-06-01,63.2,2.6,6.0,10.2,3.0
2024-07-01,64.5,2.5,6.0,8.5,3.0
2024-08-01,55.75,2.75,6.0,7.5,3.25
2024-09-01,59.2,3.0,5.6,7.6,2.8
2024-10-01,56.0,3.25,5.25,7.25,2.25
2024-11-01,51.25,3.0,5.0,7.0,2.0
2024-12-01,61.0,3.2,5.2,7.6,2.2
2025-01-01,52.75,3.5,4.75,6.25,2.0
2025-02-01,52.5,3.0,5.0,6.5,2.0
2025-03-01,58.0,3.0,5.2,6.4,3.6
