time [UTC],Ikea,Temple & Webster,West Elm
2021-08-01,62.0,0.0,2.0
2021-09-01,67.75,0.0,2.0
2021-10-01,68.4,0.0,2.0
2021-11-01,71.5,0.0,2.0
2021-12-01,74.25,0.0,1.5
2022-01-01,86.4,0.0,1.8
2022-02-01,76.5,0.0,1.5
2022-03-01,70.0,0.0,1.25
2022-04-01,75.25,0.0,1.25
2022-05-01,62.8,0.0,1.2
2022-06-01,66.5,0.0,1.0
2022-07-01,68.4,0.0,1.0
2022-08-01,68.0,0.0,1.0
2022-09-01,67.5,0.0,1.0
2022-10-01,64.2,0.0,1.0
2022-11-01,62.5,0.0,1.0
2022-12-01,69.0,0.0,1.25
2023-01-01,75.8,0.0,1.0
2023-02-01,60.5,0.0,1.0
2023-03-01,57.25,0.0,1.0
2023-04-01,65.2,0.0,1.0
2023-05-01,55.5,0.0,1.0
2023-06-01,60.5,0.0,1.0
2023-07-01,60.8,0.0,1.0
2023-08-01,56.75,0.0,1.0
2023-09-01,58.25,0.0,1.0
2023-10-01,58.4,0.0,1.0
2023-11-01,64.0,0.0,1.0
2023-12-01,72.6,0.0,1.0
2024-01-01,72.5,0.0,1.0
2024-02-01,59.75,0.0,1.0
2024-03-01,62.0,0.0,1.0
2024-04-01,64.25,0.0,1.0
2024-05-01,60.0,0.0,1.0
2024-06-01,67.2,0.0,1.0
2024-07-01,66.0,0.0,1.0
2024-08-01,59.0,0.0,1.0
2024-09-01,61.2,0.0,1.0
2024-10-01,60.75,0.0,1.0
2024-11-01,64.0,0.5,1.0
2024-12-01,72.8,0.0,1.0
2025-01-01,75.0,0.0,1.0
2025-02-01,63.75,0.0,1.0
2025-03-01,58.2,0.0,1.0
